2020-12-14 17:28:30.984 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/oauth-web] - Initializing Spring embedded WebApplicationContext
2020-12-14 17:28:30.984 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 874 ms
2020-12-14 17:28:31.182 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-14 17:28:31.288 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2020-12-14 17:28:31.306 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/oauth-web'
2020-12-14 17:28:31.308 [main] INFO  com.demo.oauth2.OauthWebApplication - Started OauthWebApplication in 1.753 seconds (JVM running for 2.534)
2020-12-14 17:28:35.943 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/oauth-web] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-14 17:28:35.943 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-14 17:28:35.949 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-12-14 17:28:35.969 [http-nio-8081-exec-1] INFO  c.d.o.common.interceptor.ControllerInterceptor - 请求| ip:0:0:0:0:0:0:0:1 | 请求接口:http://localhost:8081/oauth-web/clientoauth | 请求类:com.demo.oauth2.client.controller.AuthController | 方法 :client | 参数: | 请求header:host=localhost:8081|connection=keep-alive|cache-control=max-age=0|upgrade-insecure-requests=1|user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36|accept=text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9|sec-fetch-site=none|sec-fetch-mode=navigate|sec-fetch-user=?1|sec-fetch-dest=document|accept-encoding=gzip, deflate, br|accept-language=zh-CN,zh;q=0.9|请求时间 :1607938115969
2020-12-14 17:28:35.978 [http-nio-8081-exec-1] INFO  c.d.o.common.interceptor.ControllerInterceptor - 返回| 请求接口:http://localhost:8081/oauth-web/clientoauth| 方法 :client | 请求时间:1607938115969 | 处理时间:9 毫秒 | 返回结果 :ModelAndView [view="clientoauth"; model=null]
2020-12-14 17:28:35.991 [http-nio-8081-exec-1] WARN  o.s.w.servlet.resource.ResourceHttpRequestHandler - Path with "WEB-INF" or "META-INF": [WEB-INF/jsp/clientoauth.jsp]
2020-12-14 17:31:22.786 [main] INFO  com.demo.oauth2.OauthWebApplication - Starting OauthWebApplication on LAPTOP-P107BEH5 with PID 16300 (D:\java\program\oauth-project\oauth-web\target\classes started by li in D:\java\program\oauth-project)
2020-12-14 17:31:22.789 [main] DEBUG com.demo.oauth2.OauthWebApplication - Running with Spring Boot v2.2.7.RELEASE, Spring v5.2.6.RELEASE
2020-12-14 17:31:22.789 [main] INFO  com.demo.oauth2.OauthWebApplication - The following profiles are active: dev
2020-12-14 17:31:23.728 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-12-14 17:31:23.735 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-12-14 17:31:23.736 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-14 17:31:23.736 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-12-14 17:31:23.737 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2020-12-14 17:31:23.738 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-12-14 17:31:23.738 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-12-14 17:31:23.741 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-12-14 17:31:23.819 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/oauth-web] - Initializing Spring embedded WebApplicationContext
2020-12-14 17:31:23.819 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 988 ms
2020-12-14 17:31:24.025 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-14 17:31:24.132 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2020-12-14 17:31:24.150 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/oauth-web'
2020-12-14 17:31:24.152 [main] INFO  com.demo.oauth2.OauthWebApplication - Started OauthWebApplication in 1.939 seconds (JVM running for 2.755)
2020-12-14 17:31:27.487 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/oauth-web] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-14 17:31:27.487 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-14 17:31:27.493 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-12-14 17:31:27.513 [http-nio-8081-exec-1] INFO  c.d.o.common.interceptor.ControllerInterceptor - 请求| ip:0:0:0:0:0:0:0:1 | 请求接口:http://localhost:8081/oauth-web/clientoauth | 请求类:com.demo.oauth2.client.controller.AuthController | 方法 :client | 参数: | 请求header:host=localhost:8081|connection=keep-alive|cache-control=max-age=0|upgrade-insecure-requests=1|user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36|accept=text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9|sec-fetch-site=none|sec-fetch-mode=navigate|sec-fetch-user=?1|sec-fetch-dest=document|accept-encoding=gzip, deflate, br|accept-language=zh-CN,zh;q=0.9|请求时间 :1607938287513
2020-12-14 17:31:27.520 [http-nio-8081-exec-1] INFO  c.d.o.common.interceptor.ControllerInterceptor - 返回| 请求接口:http://localhost:8081/oauth-web/clientoauth| 方法 :client | 请求时间:1607938287513 | 处理时间:7 毫秒 | 返回结果 :ModelAndView [view="/templates/clientoauth.html"; model=null]
2020-12-14 17:31:27.534 [http-nio-8081-exec-1] WARN  o.s.w.servlet.resource.ResourceHttpRequestHandler - Path with "WEB-INF" or "META-INF": [WEB-INF/jsp/templates/clientoauth.html.jsp]
